DØGNVERDIER

Stasjoner
Stnr;Navn;I drift fra;I drift til;Hoh;Breddegrad;Lengdegrad;Kommune;Fylke;Region
18700;OSLO - BLINDERN;jan 1931;;94;59.9423;10.7200;Oslo;Oslo;ØSTLANDET
41770;LINDESNES FYR;jan 1863;;16;57.9826;7.0478;Lindesnes;Vest-Agder;AGDER
69100;VÆRNES;apr 1940;;12;63.4596;10.9305;Stjørdal;Nord-Trøndelag;TRØNDELAG
93700;KAUTOKEINO;jan 1868;;307;68.9968;23.0335;Guovdageaidnu-Kautokeino;Finnmark;NORD-NORGE

Elementer
Kode;Navn;Enhet
TAM;Middeltemperatur;ºC
TAN;Minimumstemperatur;ºC
TAX;Maksimumstemperatur;ºC


****************** MELDING *****************
Dataverdi merket x betyr manglende tilgang eller at kvaliteten er 'Svært usikker, modelldata' (Nivå 6 eller mer).
********************************************

Stnr;Dato;TAM;TAN;TAX
18700;01.01.2006;-2.2;-2.9;-1.0
18700;02.01.2006;-7.4;-9.0;-2.2
18700;03.01.2006;-5.8;-9.5;-3.7
18700;04.01.2006;-6.8;-8.3;-3.7
18700;05.01.2006;-3.2;-7.6;-1.9
18700;06.01.2006;-3.3;-4.0;-2.4
18700;07.01.2006;-4.4;-4.7;-3.7
18700;08.01.2006;-3.8;-5.1;-2.6
18700;09.01.2006;-2.5;-3.6;-2.2
18700;10.01.2006;1.9;-2.2;3.9
18700;11.01.2006;5.2;3.9;6.1
18700;12.01.2006;2.2;-0.4;4.9
18700;13.01.2006;3.2;1.7;4.5
18700;14.01.2006;1.5;0.6;1.8
18700;15.01.2006;0.9;-0.1;2.4
18700;16.01.2006;-1.4;-2.4;0.1
18700;17.01.2006;-3.4;-5.0;-1.3
18700;18.01.2006;-1.9;-5.3;-0.9
18700;19.01.2006;-6.0;-7.0;-1.7
18700;20.01.2006;-6.8;-7.3;-6.2
18700;21.01.2006;-7.9;-9.3;-6.4
18700;22.01.2006;-6.5;-11.1;-3.6
18700;23.01.2006;-0.3;-3.6;0.9
18700;24.01.2006;1.1;0.2;1.8
18700;25.01.2006;1.0;-0.5;2.6
18700;26.01.2006;-2.4;-4.6;1.7
18700;27.01.2006;-3.9;-7.8;1.2
18700;28.01.2006;-4.5;-8.1;0.6
18700;29.01.2006;-5.1;-8.0;-1.3
18700;30.01.2006;-2.3;-6.2;-0.5
18700;31.01.2006;1.4;-2.2;6.9
18700;01.02.2006;-1.6;-4.8;3.0
18700;02.02.2006;-1.5;-5.1;0.8
18700;03.02.2006;1.3;-0.9;3.3
18700;04.02.2006;-7.0;-7.9;0.9
18700;05.02.2006;-6.8;-7.8;-6.0
18700;06.02.2006;-5.0;-6.3;-3.4
18700;07.02.2006;-2.8;-8.4;0.7
18700;08.02.2006;-1.8;-2.4;0.4
18700;09.02.2006;-1.6;-2.9;-0.5
18700;10.02.2006;-3.0;-4.2;1.3
18700;11.02.2006;-9.5;-12.7;-4.1
18700;12.02.2006;-11.4;-15.7;-6.5
18700;13.02.2006;-7.6;-12.4;-1.6
18700;14.02.2006;-5.5;-9.3;-3.1
18700;15.02.2006;-1.7;-3.7;-0.9
18700;16.02.2006;-0.8;-1.3;-0.1
18700;17.02.2006;-3.5;-4.2;-1.2
18700;18.02.2006;-4.6;-5.9;-3.5
18700;19.02.2006;-4.0;-4.5;-1.6
18700;20.02.2006;-5.7;-11.0;-0.1
18700;21.02.2006;-1.8;-6.5;3.0
18700;22.02.2006;-1.5;-4.9;0.6
18700;23.02.2006;6.3;-0.3;9.7
18700;24.02.2006;1.9;0.4;7.4
18700;25.02.2006;0.3;-3.7;4.1
18700;26.02.2006;-2.6;-7.6;2.0
18700;27.02.2006;-3.9;-6.4;-0.9
18700;28.02.2006;-4.7;-5.1;-2.0
18700;01.03.2006;-5.0;-6.0;-4.3
18700;02.03.2006;-4.2;-5.0;-2.6
18700;03.03.2006;-7.5;-9.6;-4.9
18700;04.03.2006;-9.6;-13.3;-6.0
18700;05.03.2006;-8.9;-11.6;-4.6
18700;06.03.2006;-9.9;-14.1;-3.6
18700;07.03.2006;-8.6;-15.0;-0.6
18700;08.03.2006;-7.5;-12.6;-3.5
18700;09.03.2006;-7.4;-8.6;-4.2
18700;10.03.2006;-8.3;-12.9;-4.3
18700;11.03.2006;-4.5;-10.2;-0.2
18700;12.03.2006;-2.0;-3.1;1.8
18700;13.03.2006;-6.0;-12.3;0.8
18700;14.03.2006;-4.8;-10.9;-1.4
18700;15.03.2006;-2.1;-4.4;-0.2
18700;16.03.2006;0.8;-4.2;6.9
18700;17.03.2006;1.9;-2.6;8.4
18700;18.03.2006;-0.9;-4.9;3.4
18700;19.03.2006;1.1;-5.8;7.7
18700;20.03.2006;-1.5;-6.5;3.9
18700;21.03.2006;-2.3;-9.0;3.6
18700;22.03.2006;-3.1;-8.5;2.6
18700;23.03.2006;-3.1;-9.7;4.0
18700;24.03.2006;-2.7;-7.0;2.3
18700;25.03.2006;-2.7;-9.7;4.9
18700;26.03.2006;-0.9;-4.4;2.5
18700;27.03.2006;-0.3;-1.9;0.7
18700;28.03.2006;2.2;0.5;3.2
18700;29.03.2006;2.6;1.6;3.5
18700;30.03.2006;3.5;-0.3;9.4
18700;31.03.2006;1.5;0.1;3.4
18700;01.04.2006;2.2;-0.5;6.9
18700;02.04.2006;1.5;-0.3;3.7
18700;03.04.2006;2.4;1.0;4.1
18700;04.04.2006;1.6;0.4;3.3
18700;05.04.2006;1.9;0.5;4.7
18700;06.04.2006;0.9;-2.4;3.6
18700;07.04.2006;x;1.1;8.2
18700;08.04.2006;2.6;1.9;5.5
18700;09.04.2006;2.0;0.6;5.1
18700;10.04.2006;4.1;-0.8;9.2
18700;11.04.2006;2.1;-1.4;6.4
18700;12.04.2006;2.5;1.4;3.8
18700;13.04.2006;3.4;2.4;4.7
18700;14.04.2006;6.2;2.5;9.9
18700;15.04.2006;5.8;-0.1;11.6
18700;16.04.2006;3.8;1.3;8.5
18700;17.04.2006;4.6;-1.1;10.3
18700;18.04.2006;5.7;-0.7;11.3
18700;19.04.2006;5.8;-0.8;11.3
18700;20.04.2006;6.9;1.8;11.5
18700;21.04.2006;6.2;2.1;11.6
18700;22.04.2006;6.8;-0.8;12.8
18700;23.04.2006;7.0;5.6;9.8
18700;24.04.2006;7.0;4.8;9.9
18700;25.04.2006;7.1;5.2;9.1
18700;26.04.2006;7.6;6.2;8.5
18700;27.04.2006;6.8;2.3;13.2
18700;28.04.2006;7.0;3.5;11.0
18700;29.04.2006;6.2;2.7;8.3
18700;30.04.2006;9.4;7.6;11.6
18700;01.05.2006;5.5;4.4;11.2
18700;02.05.2006;6.3;4.8;8.0
18700;03.05.2006;10.4;6.5;15.4
18700;04.05.2006;14.5;8.2;19.9
18700;05.05.2006;16.3;10.6;21.4
18700;06.05.2006;15.9;9.3;21.4
18700;07.05.2006;17.0;10.8;22.2
18700;08.05.2006;18.8;11.8;24.2
18700;09.05.2006;18.3;11.1;25.2
18700;10.05.2006;18.4;13.4;24.3
18700;11.05.2006;17.0;10.2;22.3
18700;12.05.2006;13.3;9.8;19.5
18700;13.05.2006;10.6;4.2;16.1
18700;14.05.2006;9.6;5.7;14.2
18700;15.05.2006;8.6;4.8;14.3
18700;16.05.2006;9.6;2.2;14.6
18700;17.05.2006;8.5;7.3;12.1
18700;18.05.2006;8.9;7.4;10.9
18700;19.05.2006;10.6;9.1;13.4
18700;20.05.2006;10.5;9.5;12.7
18700;21.05.2006;10.7;8.2;14.6
18700;22.05.2006;11.0;8.7;14.7
18700;23.05.2006;11.0;9.8;14.3
18700;24.05.2006;10.2;6.4;14.7
18700;25.05.2006;9.3;6.8;12.8
18700;26.05.2006;10.3;5.7;14.8
18700;27.05.2006;11.5;4.9;16.5
18700;28.05.2006;12.1;7.9;18.0
18700;29.05.2006;13.5;6.9;19.0
18700;30.05.2006;11.7;7.7;17.2
18700;31.05.2006;11.1;6.5;15.1
18700;01.06.2006;12.8;6.1;19.9
18700;02.06.2006;14.8;9.5;20.3
18700;03.06.2006;14.6;10.6;19.7
18700;04.06.2006;12.7;6.6;16.4
18700;05.06.2006;13.2;9.9;17.2
18700;06.06.2006;14.5;8.7;21.0
18700;07.06.2006;15.2;10.6;20.2
18700;08.06.2006;15.1;9.5;21.4
18700;09.06.2006;17.8;12.3;25.6
18700;10.06.2006;17.7;11.0;24.8
18700;11.06.2006;17.4;11.9;25.6
18700;12.06.2006;20.2;11.9;28.5
18700;13.06.2006;20.0;13.0;26.7
18700;14.06.2006;17.9;13.7;23.4
18700;15.06.2006;17.9;11.0;24.8
18700;16.06.2006;18.1;11.0;24.3
18700;17.06.2006;18.8;14.1;24.6
18700;18.06.2006;18.3;15.1;25.6
18700;19.06.2006;16.9;14.2;20.4
18700;20.06.2006;16.8;16.1;19.4
18700;21.06.2006;14.6;13.4;17.2
18700;22.06.2006;12.0;9.6;15.4
18700;23.06.2006;14.5;10.8;20.7
18700;24.06.2006;14.7;8.8;20.1
18700;25.06.2006;15.0;11.3;19.5
18700;26.06.2006;16.7;10.2;21.2
18700;27.06.2006;12.8;11.8;20.3
18700;28.06.2006;14.7;10.6;20.5
18700;29.06.2006;17.7;10.7;23.1
18700;30.06.2006;18.4;12.2;23.7
18700;01.07.2006;20.2;13.9;25.8
18700;02.07.2006;19.5;13.1;24.3
18700;03.07.2006;20.0;13.1;25.9
18700;04.07.2006;21.6;15.5;28.1
18700;05.07.2006;21.7;15.2;26.9
18700;06.07.2006;22.2;14.8;28.6
18700;07.07.2006;21.5;19.3;26.0
18700;08.07.2006;20.3;18.1;24.6
18700;09.07.2006;17.3;13.6;21.7
18700;10.07.2006;19.6;15.0;26.4
18700;11.07.2006;14.7;12.3;23.5
18700;12.07.2006;16.0;9.0;20.6
18700;13.07.2006;17.8;13.9;22.9
18700;14.07.2006;16.4;10.2;21.3
18700;15.07.2006;17.9;10.7;24.4
18700;16.07.2006;18.3;12.1;25.0
18700;17.07.2006;20.0;15.8;24.4
18700;18.07.2006;19.6;16.3;24.6
18700;19.07.2006;18.9;13.9;25.1
18700;20.07.2006;21.5;15.4;28.2
18700;21.07.2006;21.9;15.2;28.1
18700;22.07.2006;22.9;18.3;29.7
18700;23.07.2006;20.4;18.7;24.7
18700;24.07.2006;21.3;16.8;27.0
18700;25.07.2006;23.8;17.2;30.5
